22-02-25 19:03:31 [INVITE] Calling : <sip:pc@192.168.0.103>------> <sip:xxx@192.168.0.103>
22-02-25 19:06:23 [INVITE] Calling : <sip:xxx@192.168.0.103> ------> <sip:pc@192.168.0.103>
22-02-25 19:07:02 [INVITE] Calling : <sip:pc@192.168.0.103> ------> <sip:xxx@192.168.0.103>
22-02-25 19:07:28 [INVITE] Calling : <sip:pc@192.168.0.103> ------> <sip:linphone@192.168.0.103>
22-02-25 19:07:29 [INVITE] Calling : <sip:pc@192.168.0.103> ------> <sip:linphone@192.168.0.103>
22-02-25 19:07:30 [INVITE] Calling : <sip:pc@192.168.0.103> ------> <sip:linphone@192.168.0.103>
22-02-25 19:07:32 [INVITE] Calling : <sip:pc@192.168.0.103> ------> <sip:linphone@192.168.0.103>
22-02-25 19:07:36 [INVITE] Calling : <sip:pc@192.168.0.103> ------> <sip:linphone@192.168.0.103>
22-02-25 19:07:44 [INVITE] Calling : <sip:pc@192.168.0.103> ------> <sip:linphone@192.168.0.103>
22-02-25 19:07:54 [INVITE] Calling : <sip:pc@192.168.0.103> ------> <sip:phone@192.168.0.103>
22-02-25 19:07:54 [INVITE] Calling : <sip:pc@192.168.0.103> ------> <sip:phone@192.168.0.103>
22-02-25 19:07:55 [INVITE] Calling : <sip:pc@192.168.0.103> ------> <sip:phone@192.168.0.103>
22-02-25 19:07:57 [INVITE] Calling : <sip:pc@192.168.0.103> ------> <sip:phone@192.168.0.103>
22-02-25 19:08:00 [INVITE] Calling : <sip:pc@192.168.0.103> ------> <sip:linphone@192.168.0.103>
22-02-25 19:08:01 [INVITE] Calling : <sip:pc@192.168.0.103> ------> <sip:phone@192.168.0.103>
22-02-25 19:08:09 [INVITE] Calling : <sip:pc@192.168.0.103> ------> <sip:phone@192.168.0.103>
22-02-25 19:08:10 [INVITE] Calling : <sip:pc@192.168.0.103> ------> <sip:phone@192.168.0.103>
22-02-25 19:39:54 [INVITE] Calling : <sip:pc@192.168.0.103> ------> <sip:phone@192.168.0.103>
22-02-26 11:12:34 [INVITE] Calling : <sip:samphone@192.168.0.103> ------> <sip:pc@192.168.0.103>
22-02-26 11:13:39 [INVITE] Calling : <sip:samphone@192.168.0.103> ------> <sip:xxx@192.168.0.103>
22-02-26 11:14:48 [INVITE] Calling : <sip:samphone@192.168.0.103> ------> <sip:pc@192.168.0.103>
22-02-26 11:15:08 [INVITE] Calling : <sip:samphone@192.168.0.103> ------> <sip:xxx@192.168.0.103>
22-02-26 11:51:03 [INVITE] Calling : <sip:samphone@192.168.0.103> ------> <sip:pc@192.168.0.103>
22-02-26 11:51:48 [INVITE] Calling : <sip:samphone@192.168.0.103> ------> <sip:pc@192.168.0.103>
22-02-26 11:52:10 [INVITE] Calling : <sip:pc@192.168.0.103> ------> <sip:samphone@192.168.0.103>
22-02-26 11:52:11 [INVITE] Calling : <sip:pc@192.168.0.103> ------> <sip:samphone@192.168.0.103>
22-02-26 11:52:12 [INVITE] Calling : <sip:pc@192.168.0.103> ------> <sip:samphone@192.168.0.103>
22-02-26 11:52:14 [INVITE] Calling : <sip:pc@192.168.0.103> ------> <sip:samphone@192.168.0.103>
22-02-26 11:52:15 [INVITE] Calling : <sip:pc@192.168.0.103> ------> <sip:samphone@192.168.0.103>
22-02-26 11:59:51 [INVITE] Calling : <sip:samphone@192.168.0.103> ------> <sip:pc@192.168.0.103>
22-02-26 11:59:51 [INVITE] Calling : <sip:samphone@192.168.0.103> ------> <sip:pc@192.168.0.103>
22-02-26 12:05:24 [INVITE] Calling : <sip:samphone@192.168.0.103> ------> <sip:xxx@192.168.0.103>
22-02-26 12:05:25 [INVITE] Calling : <sip:samphone@192.168.0.103> ------> <sip:xxx@192.168.0.103>
22-02-26 12:05:26 [INVITE] Calling : <sip:samphone@192.168.0.103> ------> <sip:xxx@192.168.0.103>
22-02-26 12:05:28 [INVITE] Calling : <sip:samphone@192.168.0.103> ------> <sip:xxx@192.168.0.103>
22-02-26 12:05:32 [INVITE] Calling : <sip:samphone@192.168.0.103> ------> <sip:xxx@192.168.0.103>
22-02-26 12:05:36 [INVITE] Calling : <sip:samphone@192.168.0.103> ------> <sip:xxx@192.168.0.103>
